row_id,label,text_length,reason,source_text,logged_at
9662,Depression,7007,"Model did not return valid CSV. This usually means the batch was too large and the output was cut off. Try lowering --batch-size to 10 or 5. First 500 chars: 'row_id,translation_es\n9662,""Soy un jodido desastre, ¿sabes lo que estoy cansado de oír? Estoy cansado de que el consejero escolar o el entrenador de fútbol me digan cosas como \'está en tu cabeza\', \'sal de tu cabeza\' y lo más inútil de todo \'Combate/Desafía esos pensamientos negativos\'. Ciertamente, uno pensaría que, si fueran capaces de realizar tareas humanas básicas, es decir, no jodidamente arruinar todo lo que haces, las tareas más básicas en un deporte, o hablar con la gente, o incluso mira'","I am such a retarded fuck up, you know what I am tired of hearing? I am tired of hearing my school counsellor or my soccer coach telling me shit like 'it is in your head', 'Get out of your own head' and the most useless of all 'Combat/Challenge those negative thoughts'. Surely, one would think, if they were capable of basic human tasks, i.e. Not fucking up everything you do, the most basic of tasks in a sport, or talking to people, or giving people eye contact for god's sake, you would not **need** to **artificially** boost yourself esteem. Because you **are** capable of those things, you are capable of functioning as a social-able human. You know how fucked my self-esteem is? Sometimes, well actually, most of the time, I hate having a fucking shower because I hate seeing my disgusting retarded fucking body in the mirror. Despite being told by some that I am too skinny, or that I am normal, etc etc. I still feel and I still am a fat fucking retarded loser. I do pretty decent at school, I got an estimated ATAR of \~84 for Year 12. I wanted to be a pilot in the RAAF, but how the fuck am I ever going to achieve that if I am just an autistic bumbling piece of shit retard who cannot have a conversation with their mates one on one. I can do speeches to a class, or hell, even the school fine; but when it comes to talking to someone or having a conversation, I just cannot. I literally want to kill myself as an escape. I remember early 2019 (I think), I was plus-oned (since I never get invited to parties, not even my own friends') to a girl's party who I somewhat had a crush on (if you would even call it that, I do not think I had ever spoken to her, even to this day). Being the socially inept fuckwit that I am, I practically held on for mercy to my friend group as it slowly deteriorated as they spoke to other guys, and women who they did or did not know at the party. Eventually I was all alone, kind of just awkwardly sitting on my phone in the corner while everyone was having fun in the pool. You want to know what I was thinking while everyone was exploring their teenage lives with girls or having fun with their mates? I thought about I could smash my skull on the edge of the pool hard enough so that I would knock myself out and drown, or how I wish, how I begged that I had a gun and could just shoot myself in the fucking head. I eventually had the nerve to walk out on the party while some of my mates asked where I was going, or that they did not want me to leave. Staying at that party would have done far more harm then good I estimate, in fact I **know** it would have made me more depressed on the walk home then I already was going to be as I walked home. Why cannot I just be normal like everyone else, is it because I am an only child who spent 90% of his childhood staring at the wall or watching TV on his own because no one was ever home? Is it because I was a fat little fucker throughout the entirety of primary school, and how being picked on for being a fat cunt has subconsciously impacted by self-esteem? Or was it that time in 2019 when I got completely dacked doing a pullup on the oval infront of the entire fucking school? (I was already a social anxiety-having fucking retard back then.) Holy shit typing this just feels good man, wow. Do I have asperges? I do not fucking know. Do I have social anxiety? I do not know. Am I just shy? I do not know. Do I have depression? I do not know. I hope I do not but I kind of hope I do at the same time so I have a reason to be so mentally fucking defective. All I know is that I have fantasized about killing myself since I was a 10 year old, and NoFap has merely granted me more time to think about how badly I just want to kill myself. How bad I just want to buy a gun, or join the army and just shoot myself in the fucking skull and just obliterate my existence from this Earth. On that note, I am not like most people who say they have ""Given up on humanity"" and how they are ""turning their back on humanity"". Because I am not angry at society or humanity, I know I am the issue, I am the defect. I am so lonely and I love this solace, this hole that I am in, this melancholy. It feels warm, cozy, it feels like I belong here and it feels like I am here to stay. I do not give a fuck anymore, I just want to die. Maybe I will regret it when I do kill myself one day. I am just so tired of being an autistic little fuckup loser. Sometimes when I get mad at myself or I feel stress, I just like to rant in my head how I am so much a fucking fat little cunt f\*ggot fucking loser, it feels good. Sometimes I like to pretend I am holding a gun to my head (or in my mouth) with my hand and just pretend I am pulling the trigger and that I will not be here anymore. I remember when I was a little younger, I used to go sleep, making a prayer (Eastern Orthodox) and just pray that god will kill me or end my life. I am just listing my thoughts here so if this feels a little disjointed, I apologise. I just wish I could be normal, I wish I did not hate the very existence of my being, my body, my stupid ugly fucking face. I wish I could look people in the eye while I talk to them. I wish I could talk to people. I wish I could talk to girls, I wish I could feel **not** lonely. I have done research on how to do those things, and it just brings me back to where I started. 'it is in your head', 'Get out of your own head' and the most useless of all 'Combat/Challenge those negative thoughts'. Just read that, kind of liked how I brought it full circle. I know other stuff about helping my social anxiety and stuff, people say just talk to people or talk to strangers, even just shallow talk etc. and it will get easier. Sure maybe it might, but I do not want to have to try man, I am so fucking sick of having to strive to be average instead of just 'being average'. I do not want to try, I just want to kill myself and not have to bother, just give up. Some of you reading that message above might be a bit smug and say, 'then do it, nothing is stopping you, just do it, you are just going to be another statistic.' Do you really think I care about being another statistic? If I had a gun, I would have already killed myself lmao. I would probably be dead in the pool or on the couch, I do not fucking know. I am listening to some Radiohead and just writing these things while putting on a good album of their just feels right. I will wrap it up here, how the fuck are people cocky? How are people arrogant or become overconfident? I want that shit man, surely it is better than every thought you have in your brain is either a plea for suicide or a neutral thought which manifests itself into a negative one. Anyways, that is all I can think of for now in my smug retarded essay. Comment what you guys think or something so I know my block of text did not go unnoticed. Or even advice, I dunno, I have not **totally** given up yet. Thanks guys. Self Esteem - Kind of just listing things to get off my chest",2026-06-10T01:39:09.137362+00:00
11054,Depression,725,Unexpected row_id returned by model: 12,"why do i feel depressed randomly for no reason? I had this time period like 2 months ago where i would randomly cry for no reason cuz i would miss my ex gf, and even when i would not be thinking about her i would sometimes just start crying. and then it was great for a month and now something happened and it is starting again, tho I am not crying as much mostlly only feeling depressed. It only happens when I am alone tho with no people around to talk around or if I am not doing anything, like when i am overthinking it starts to happen again . How do i stop it i feel ashamed of myself for crying cuz I am a really buff guy and it would be weird for someone like me to have such emotions depressed ranomlly for no reason",2026-06-10T02:49:10.889805+00:00
11277,Depression,4767,"Model did not return valid CSV. This usually means the batch was too large and the output was cut off. Try lowering --batch-size to 10 or 5. First 500 chars: 'row_id,translation_es\n12777,""No sé por dónde empezar. Tengo 38 años y estoy casada por segunda vez (lo explicaré con más detalle). También tengo un hijo (no de sangre, pero lo considero mío) de seis años. Me siento muy mal ahora mismo y nada parece mejorar mi estado, ya que sigo encontrando cosas que me hacen sentir peor. Estoy intentando ver el lado positivo, pero no ha sido posible. Aquí hay una historia larga sobre por qué no puedo salir del bache... Mi primer matrimonio fue bueno al principi'","I really do not know where to begin. I am 38 years old and on my second marriage (this will be explained in detail) This marriage also includes a 6 year child (that is not mine by blood but I still claim as my own). I am feeling really down right now and there has not been anything that can lift me up as I keep finding shit that brings me down. I am really trying to find to positive side of things but it just has not been possible. Now, here is a long story of why I just cannot seem to get a break...My first marriage was medicare at first. I honestly did not want to be with her but she won me over and I married her.. We had many years of happiness and life events (buying house, cars, etc). I ended up losing my job and joining the army to make ends meet and try to progress our status in life. I was gone from home for at least a year for training then another 6 months for orders due to premobilization of my unit. Shortly after I was off to iraq for 16 months. Needless to say I was away from my wife and home for quite a long while but I was paying the bills and trying to give her a life she enjoyed.During my mid tour leave I decided to give her a chance to ""come clean"" with any doings that I would have a major problem about (mainly cheating). She said she started smoking weed but that was all... I do not mind weed but I did not want her hobby to interfere with my security clearance so I asked her to stop by the time I got home. Fast forward a while and I found out through her computer that she was sexting another guy, a cop (this will play a part later in the story) and they were sending pictures and videos back and forth along with skyping all dating back to the time I was in Iraq. The first time I found out abou it I told her I wanted a divorce and left our house to live with my friend. She made a Deal with me that she would go through an uncontested divorce if I moved back in and went to marriage counseling. If that did not work out then she would grant me my divorce. Win win for me I thought....One of the conditions of the consousling was I was able to check her phone whenever I wanted to assure myself that no communication was happening with the cop. I did not find any for months. But I decided to put her to a test and see deleted the dude from her Facebook. All while making sure that I could see her text messages even if she deleted them. It was not but hours before I found the first text between them. They were not suppose to be communicating at all and she was trying to hide her tracks by deleting her messages. Then I laid another trap, I left for military stuff for a month or so and decided to ask her for nude pictures. My goal was to see if she sent the pictures to the cop. I got the pictures I asked for, and so did the cop... I immediately started the procedure to divorce this woman... Now on the the part that hurts the most. I found a woman that made me so happy and I found her during the finalization of my divorce. This woman was everything straight from the start. I told her ever single detail of my life and everything between. I even left the military for this woman ( I wanted a family and the military is not conducive to that). She already had a baby but that was fine with me. I fell so in love with this woman I asked her to marry me. We got got married, then tragedy, again.Our young relationship did have quite a strain. We bought new build houses twice within 2 years and then our house was hit with a tornado. We lost a friendship with someone that took us in to live with them, we lived in a hotel for a few months then covid hit and everything locked down. We managed to move into an apartment during this time but it was still difficult. I managed to get t-boned in my truck in which I broke 3 ribs, punctured a lung, and was knocked un conscious. So we had that to deal with. Eventually my new family found its way back into out newest ""tornado"" house. After we worked so hard to get it repaired.Mere months later I found out my wife was sexting with a cop. Keep in mind, this is wife #2 now, doing the same thing as wife #1. We are in marriage counseling now but it does not feel like it is helping. As of late I have been asking her if she is still thinking about this guy and she is flat out lieing about it.Tonight I found it she was upset over the fact that this shitbag found another girlfriend and that she thinks about him everyday and that she 100% knew there was a connection between them.Also, fuck sexlife on Netflix because she feels that while the physical portion of that show did not happen, the mental part did with the cop, I found that out tonight as well so yay me... Life for the last 15 years has been such garbage I wished I died in Iraq. Noone else to talk to...",2026-06-10T03:04:29.571401+00:00
11399,Depression,612,Unexpected row_id returned by model: 12,"So I usually take Desvenlafaxine (100mg) + Clonazepam (1mg) in the night. And Bupropion 150 XL and Clonazepam (0.25mg) + Propranolol (20mg) in the morning.This morning I ended up taking Desvenlafaxine (100mg) + Clonazepam (1mg) again in the morning along with Clonazepam (0.25mg) + Propranolol (20mg). I got super nervous when I realised the mistake and tried to voluntarily throw up to get the tablets out but no such luck. I have messaged by doctor regarding this but meanwhile if you has any insights as to what to expect and what can I do about it, it would be great. Help! Double dosed on my antidepressant!",2026-06-10T03:14:06.330274+00:00
11432,Depression,4597,Unexpected row_id returned by model: 12,"I am 17F, Asian.For my entire childhood my mom has projected her insecurities onto me, a behavior which has manifested into relentless cruelty and emotional torture. She used to hit me a lot ( I still have a scar from when she hurled her keys at my face because I told a friend that she had called me a curse) but stopped when CPS came. She has incessantly berated and demeaned me for over a decade, to a point of viciousness words cannot describe. whether that is trying to force me to kill myself or calling me a worthless fucking idiot or shrieking at me that I am a maniac who everyone thinks should be locked up, the pain she has caused me is indescribable. every single day she terrorizes me with insults, comparisons, belittling, threats and manipulation. and I do not know if I will ever be able to recover from the anguish.but whenever I obey her she is nice to me and acts like a good mother. I know the love is real, albeit conditional, and it will disappear the moment things do not go her way. but I try so so hard to keep her in a good mood because I just need her affection so badly. I hate myself so much for this.my father is more normal but he has bursts of uncontrollable rage when things do not go his way. I try not to think about these times because other times he loves me very much. I would like to emphasize that he is very kind to me usually. But these outbursts include physical assault, smashing stuff, death threats, suicide threats, and really mean comments to me like 'I bet you get orgasms from destroying the family like the sociopath you are'.But that is not very common so I do not want to focus on that. what is more common is his enabling of my moms behavior. he always sat back in silence on his phone whenever my mom was shrieking at me and always pretended it never happened. he never validates my feelings and always jumps to comments like 'nothing will ever satisfy you' and 'your mom does so much for you why are you so ungrateful you bitch'. he always sided with her and her bullshit narrative about the family dynamic (essentially I ruined everyone is happiness). It is so frustrating especially when I am begging and crying for him to intervene but he just tells me to shut up and go away and listen to my mother.anyway yesterday my mom was screaming at me as usual because I had not finished a college essay draft. she said something along the lines of how my dad always tells her how he thinks I should be locked up in a mental institution, how he wishes he had his friends daughters instead of me and how he cannot wait for me to be out of his life. I felt really sad about this for some reason even though they have said things like this to me since I was 9.My dad was driving me back home from a dr appt today when I for some dumbass reason asked him if what he had said was true. he obviously got very defensive and skirted around the question and claimed I was always searching for stuff to be mad about, that I was always blaming my problems on my parents, and he did not know what to do to satisfy me. this really upset me as all I want is a loving peaceful family. I will admit it, I called him a bad father. I was so angry by him invalidating me and making it look like such a simple request was absurd and ungrateful. I hate how they will always see me as overemotional and dramatic and selfish without ever looking inward and recognizing their flaws. well anyway that made him super mad and he basically said that he hated me and my mom, and marrying her was the worst decision of his life, that he had stopped loving her years ago and it was all my fault. He said that the family was not worth resurrecting and the only reason he had not left and/or killed himself was to preserve his reputation. When I got home I went and cried to my mother and told her she was right, that I am a failure, and I begged her to hug me. She hugged and kissed me and I felt so much better. She got impatient pretty fast but I did not care. i just wanted someone to love me. I feel so much self loathing for not being strong enough to withstand a family deprived of love. I hate that i am relinquishing my autonomy and purpose and strength just to feel some love from my parents. it sucks. Idk if this is depression or a coping mechanism or what. I do not know how to keep going on. anyway sorry for rant ty for reading if you got this far Both my parents are incredibly cruel to me but sometimes I am so desperate to fill the void I abandon all my morals and appease them so I can get some affection. I viscerally hate myself for this. Is that depression?",2026-06-10T03:17:58.187073+00:00
12510,Depression,4405,"Model did not return valid CSV. This usually means the batch was too large and the output was cut off. Try lowering --batch-size to 10 or 5. First 500 chars: 'row_id,translation_es\n12510,""Otra vez estoy entrando en un espiral descendente muy grave. Intenté quitarme la vida en 2018, pasé algunos días en el servicio psiquiátrico. Algunos de ustedes quizás lo hayan vivido también. Desde entonces, no me he ido mucho mejor: simplemente he sobrevivido arrastrándome con una fuerza que no estaba segura de tener. Dos semanas después del intento, volví al trabajo y ahora veo, vaya, eso es tan raro. Era como \\""ahora apúrate y vuelve a ser rentable\\"", renuncié a '","TWI've gone on a very bad downward spiral again recently. I tried to take my own life back in '18, spent some days in the psych ward. Some of you have probably been there, too.Since then, I have not really gotten better - I have just crawled my way into surviving with a strenght I was not sure I had. Two weeks after the attempt I went back to work, and I now realize damn, that is so f\* up. It was like ""now hurry up and be profitable again""I quit that job last year, before the pandemic. Since then, I tried to get another job. I recently landed one which I was really hoping was just going to be something I could handle. Woop-dee-doo. How do I fool myself every time. Two months later, here we are - I collapsed, hard, this time more from my anxiety than from my depression. I just told my boss I was sick until I could figure out what to do. I called my psych; she knows me well. She told me she suggested at least a month off. I know this company would kick me to the curb if I take one month off, so I though it was better to resign saying I got another job offer, patch it up, bye bye.What else can I do other than try my hardest to fix the things this mental illness causes as best as I can? Nothing else.My mom understands. Not everything, because no one who has not had a mental illness can fully understand it. But she is supportive. she is been my anchor all this time. She is the sole reason I am typing today; I would, no doubt, be gone if she were gone. Things is, I moved back here last year, after quitting my job. The reason I moved was because my grandma, who I was living with since 2012, had a stroke and now needs a full-time caregiver. it is a two bedroom apartment, so I had to get out. I guess my stepfather, who ""sees me as daughter"" (pft) has not really liked that. I guess he feels, like always, as if I were here to try and steal my mom or something. I actually felt bad and I thought maybe I am being an obstacle between a couple, even though being honest and kind to myself (quite rare) I have helped the hell out of them after he was diagnosed cancer last year and I took care of the house while they were gone.I think now he just wants me out. I am quite impressed at his lack of care despite being a firsthand witness of my attempt in '18. I asked my mom because I felt something was off (they are gone til tomorrow). She said he, I quote, ""is worried that I will never be able to live on my own.""I do not know if she does but I do see the meaning behind those words. it is a not very subtle ""get out of my house and leave me alone with my wife"". I guess I should have seen it coming, knowing the only love that is unconditional is my mom's. As I wrote down this post I calmed down a little bit. Right now I need to get back on my feet. I will resign from this job because there is no way I can handle it next week, or ever. I will work with my psychiatrist to get me back to ""semi functional"" as I like to call it. Then I am grabbing my money and I am getting the hell out. Screw this. Screw him and his expectations. He can shove his fake care and love up where light does not reach. He has the nerve to judge me, the nerve to expect me to go on after I collapse, when he has two kids (32 and 27) who have NEVER. WORKED.NEVER.I guess I kind of answered myself in this post, but I would still appreciate any input you might have. I feel stronger now. I feel angry. that is good - angry is better than guilty. Eventually I know I will just let go of him, because I do not live with resentment. How am I going to manage once I leave? I have no clue. But I cannot manage here anyway, either. And if I am not wanted, then I shall go.The good side of me still wishes him good. The good side of me cries at how stupid I am, because amidst having a mental breakdown I felt so happy that yesterday he was told his cancer treatment ends next month. I was so genuinely happy, because I do love him. I guess I am just not loved back. And you can tell me ""he loves me in his own way"", but I do not believe in that. You either love someone or you do not. Thank you for the space. I will be down, and up, and down, and up again. But I think eventually, I will just pack up my things and go. And remind myself, yet again, every day, that love is absolutely conditional. How do you deal with the judgement and disappointment of others when they realize you are not who they expected?",2026-06-10T04:52:38.256127+00:00
49472,Bipolar,0,Missing translation_es for row_id=49472,,2026-06-11T12:16:53.168295+00:00
49473,Bipolar,0,Missing translation_es for row_id=49473,,2026-06-11T12:17:13.425606+00:00
49490,Bipolar,0,Missing translation_es for row_id=49490,,2026-06-11T12:20:08.565552+00:00
49534,Bipolar,0,Missing translation_es for row_id=49534,,2026-06-11T12:22:55.180592+00:00
49639,Bipolar,0,Missing translation_es for row_id=49639,,2026-06-11T12:31:56.974675+00:00
49641,Bipolar,0,Missing translation_es for row_id=49641,,2026-06-11T12:32:30.367763+00:00
49870,Bipolar,0,Missing translation_es for row_id=49870,,2026-06-11T12:52:25.192178+00:00
49879,Bipolar,0,Missing translation_es for row_id=49879,,2026-06-11T12:53:38.434351+00:00
50071,Bipolar,0,Missing translation_es for row_id=50071,,2026-06-11T13:11:09.416431+00:00
50120,Bipolar,0,Missing translation_es for row_id=50120,,2026-06-11T13:18:27.014117+00:00
50150,Bipolar,0,Missing translation_es for row_id=50150,,2026-06-11T13:21:06.574566+00:00
50163,Bipolar,0,Missing translation_es for row_id=50163,,2026-06-11T13:23:04.115655+00:00
50175,Bipolar,0,Missing translation_es for row_id=50175,,2026-06-11T13:24:39.158414+00:00
50232,Bipolar,0,Missing translation_es for row_id=50232,,2026-06-11T13:30:29.506063+00:00
50262,Bipolar,0,Missing translation_es for row_id=50262,,2026-06-11T13:33:46.498031+00:00
50279,Bipolar,0,Missing translation_es for row_id=50279,,2026-06-11T13:34:39.255187+00:00
50321,Bipolar,0,Missing translation_es for row_id=50321,,2026-06-11T13:39:41.503798+00:00
50579,Bipolar,0,Missing translation_es for row_id=50579,,2026-06-11T14:40:27.017419+00:00
50588,Bipolar,0,Missing translation_es for row_id=50588,,2026-06-12T07:51:24.756864+00:00
50663,Personality disorder,0,Missing translation_es for row_id=50663,,2026-06-11T14:48:00.295747+00:00
50671,Personality disorder,0,Missing translation_es for row_id=50671,,2026-06-11T14:49:32.297106+00:00
50757,Personality disorder,0,Missing translation_es for row_id=50757,,2026-06-11T14:55:31.155244+00:00
50862,Personality disorder,0,Missing translation_es for row_id=50862,,2026-06-11T15:08:28.605439+00:00
50892,Personality disorder,0,Missing translation_es for row_id=50892,,2026-06-11T15:12:03.695156+00:00
50966,Personality disorder,0,Missing translation_es for row_id=50966,,2026-06-11T15:18:10.824476+00:00
51050,Personality disorder,0,Missing translation_es for row_id=51050,,2026-06-11T15:26:44.018191+00:00
51056,Personality disorder,0,Missing translation_es for row_id=51056,,2026-06-11T15:28:24.723742+00:00
51191,Personality disorder,0,Missing translation_es for row_id=51191,,2026-06-11T15:45:22.393716+00:00
51230,Personality disorder,0,Missing translation_es for row_id=51230,,2026-06-11T15:51:47.956270+00:00
51319,Personality disorder,0,Missing translation_es for row_id=51319,,2026-06-11T16:00:31.506027+00:00
51325,Personality disorder,0,Missing translation_es for row_id=51325,,2026-06-11T16:01:25.598142+00:00
51368,Personality disorder,0,Missing translation_es for row_id=51368,,2026-06-11T16:07:47.271427+00:00
51434,Personality disorder,0,Missing translation_es for row_id=51434,,2026-06-11T16:15:20.026401+00:00
51472,Personality disorder,0,Missing translation_es for row_id=51472,,2026-06-11T16:19:06.728427+00:00
51495,Personality disorder,0,Missing translation_es for row_id=51495,,2026-06-11T16:21:39.220249+00:00
51499,Personality disorder,0,Missing translation_es for row_id=51499,,2026-06-11T16:22:57.605145+00:00
51627,Personality disorder,0,Missing translation_es for row_id=51627,,2026-06-11T16:33:15.362592+00:00
51632,Personality disorder,0,Missing translation_es for row_id=51632,,2026-06-11T16:33:43.091345+00:00
51671,Personality disorder,0,Missing translation_es for row_id=51671,,2026-06-11T16:38:52.274809+00:00
51684,Personality disorder,0,Missing translation_es for row_id=51684,,2026-06-11T16:39:56.054742+00:00
51746,Personality disorder,0,Missing translation_es for row_id=51746,,2026-06-11T16:44:28.878423+00:00
51749,Personality disorder,0,Missing translation_es for row_id=51749,,2026-06-11T16:45:23.617239+00:00
51757,Personality disorder,0,Missing translation_es for row_id=51757,,2026-06-11T16:46:59.487335+00:00
51763,Personality disorder,0,Missing translation_es for row_id=51763,,2026-06-11T16:47:57.810288+00:00
51823,Personality disorder,0,Missing translation_es for row_id=51823,,2026-06-11T16:54:51.004275+00:00
51825,Personality disorder,0,Missing translation_es for row_id=51825,,2026-06-11T16:55:30.750969+00:00
52936,Anxiety,0,Missing translation_es for row_id=52936,,2026-06-11T18:34:04.355119+00:00
